fullname,shortname,number,category,vid_uchrezhdeniya,organiz_pravov_forma,podchinenie,address,telephone,email,location
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1439, ГБОУ детский сад № 1439,1 439, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," ""127273 г. Москва, ул. Отрадная, д. 5 ""Б""",(499) 907-63-66, detsad1439@mail.ru,POINT(37.6076187 55.8591187)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 938, ГБОУ детский сад № 938,938, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127349, город Москва, улица Лескова, дом 6 Г",(499) 909-00-44, detskiysad938@yandex.ru,POINT(37.5925685 55.8970746)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1243, ГБОУ детский сад № 1243,1 243, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Западное окружное управление образования," 119333, г. Москва, ул. Фотиевой, дом 8",8(499)137-35-75, dou1243@ou.mosuzedu.ru; tngulakova@bk.ru,POINT(37.5623493 55.70100369999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1432, ГБОУ детский сад № 1432,1 432, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 119331, г.Москва, улица Марии Ульяновой, дом 17, корпус 1",8(499)138-38-47, dou1432@ou.mosuzedu.ru,POINT(37.5203819 55.680765)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 824, ГБОУ детский сад № 824,824, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121615, г.Москва, ул. Ельнинская, д. 16",(499) 141-75-87, dou824@bk.ru,POINT(37.4240156 55.7386473)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2703, ГБОУ детский сад № 2703,2 703, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127495 город Москва, Дмитровское шоссе, д.165Е, корпус 13",(499) 661-32-73, dou.2703@yandex.ru,POINT(37.5439964 55.9280822)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2435, ГБОУ детский сад № 2435,2 435, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117628, г.Москва, ул. Грина, дом 36, корпус 1",(495) 714 96 13, skazka2435@mosuzedu.ru,POINT(37.56731440000001 55.5694205)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1041, ГБОУ детский сад № 1041,1 041, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 107150, г. Москва, Погонный проезд, д.27",(499) 169-43-51, rocinka1041@mail.ru,POINT(37.7170561 55.8184477)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2698, ГБОУ детский сад № 2698,2 698, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119501 г.Москва, ул. Матвеевская, д. 4, корп. 5",(499) 233-02-72, det2698@yandex.ru,POINT(37.4727983 55.7062651)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2730, ГБОУ детский сад № 2730,2 730, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125057, Лениградский проспект, д. 75Д",(499) 198-12-90, gbou-ds.2730@yandex.ru,POINT(37.5122287 55.805059)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1626, ГБОУ детский сад № 1626,1 626, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Восточное окружное управление образования," 127562, город Москва, улица Санникова, дом 5, корпус 2",(499) 201-30-00, Sch1626@yandex.ru,POINT(37.5938116 55.8610897)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 796, ГБОУ детский сад № 796,796, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117321, г.Москва, улица Профсоюзная, дом 152А",8-495-338-27-00, DOU796@mail.ru,POINT(37.5020266 55.6236194)
 Государственное бюджетное образовательное учреждение города Москвы детский сад присмотра и оздоровления № 403, ГБОУ детский сад № 403,403, Дошкольное образовательное учреждение, Детский сад присмотра и оздоровления, Бюджетное, Северо-Восточное окружное управление образования," 127081, г. Москва, ул. Полярная, д. 7, кор. 3",(499) 477-25-98, ds403@yandex.ru,POINT(37.6316464 55.873379)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 295, ГБОУ детский сад № 295,295, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 115035, г. Москва, ул.Садовническая, д. 73, стр. 24",(495) 951-54-65, d-s295@yandex.ru,POINT(37.643803 55.736266)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 160, ГБОУ детский сад № 160,160, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121248 г. Москва, Кутузовский проспект, д. 13",(499) 243-61-20, dou160@mail.ru,POINT(37.5591045 55.7477751)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1611, ГБОУ детский сад № 1611,1 611, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125635, г. Москва, улица Талдомская, дом 2Е",(499) 906-82-44, abramovagou1611@yandex.ru,POINT(37.520135 55.8708314)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2718, ГБОУ детский сад № 2718,2 718, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 127055 город Москва Тихвинский переулок д. 16, стр.1",(499) 250-18-95, detsad_2718@mail.ru,POINT(37.5997048 55.78724099999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 900, ГБОУ детский сад № 900,900, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117535 г.Москва, Россошанский пр-д, д.5 А",(495) 382-82-72, dou900@sinergi.ru,POINT(37.6099277 55.5990284)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 916, ГБОУ детский сад № 916,916, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117545 г.Москва, ул.Подольских курсантов, д.8а",(495) 381-85-28, dou916@sinergi.ru,POINT(37.6147452 55.6053662)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 15, ГБОУ детский сад № 15, 15, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 129337, город Москва, Ярославское шоссе, дом 8, корпус 4",(499) 183-27-29, gbou15@mail.ru,POINT(37.6872969 55.85266319999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2278, ГБОУ детский сад № 2278,2 278, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109153, г.Москва, ул. Моршанская, д.2, к. 2",(495) 705-00-01, galina-2278@mail.ru; www.detsad2278.ru,POINT(37.856526 55.697177)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 960, ГБОУ детский сад № 960,960, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Южное окружное управление образования," 115404 Г. Москва,ул. Касимовская, д.15,к.2",(495) 326-11-74, dou960@sinergi.ru,POINT(37.6574405 55.5975335)
" Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1842 ""Пересвет"""," ГБОУ ЦРР-детский сад № 1842 ""Пересвет""",1 842, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Центральное окружное управление образования," 123056, г. Москва, ул. Б. Грузинская, д. 67, стр. 1",(499) 254-40-79, per1842@yandex.ru; do.peresvet1842@yandex.ru,POINT(37.584425 55.773343)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 594, ГБОУ детский сад № 594,594, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования, 129282 город Москва улица Тихомирова дом 13,(499) 476-25-38, det.sad_594@mail.ru,POINT(37.6498795 55.8859241)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 463, ГБОУ ЦРР-детский сад № 463,463, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Западное окружное управление образования," 119 454 г.Москва, ул.Лобачевского, д. 56",(499) 431-58-10, crr463@mai.ru,POINT(37.4932502 55.6737259)
 Государственное бюджетное образовательное учреждение города Москвы детский сад №2442, ГБОУ детский сад №2442,2 442, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107065,г.Москва,ул. Камчатская,дом 23",(495) 469-93-12, r2442@mail.ru,POINT(37.8220676 55.8291305)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2453, ГБОУ детский сад №2453,2 453, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117628, г. Москва, ул. Грина, дом 30, корпус 1",8 (495) 711-01-05, dou2453@mosuzedu.ru,POINT(37.570061 55.56878099999999)
